6083	6085
16120	16465
537146	537388
561617	561992
697263	697270
840619	840623
871466	871467
924158	924172
944267	944274
1046079	1046090
1059347	1060045
1060069	1060725
1060833	1061063
1061201	1061575
1061576	1062451
1062468	1062821
1062882	1062998
1063108	1063137
1063203	1064045
1064446	1065432
1065480	1065651
1066302	1067072
1067210	1067229
1067720	1068469
1069453	1069783
1070121	1070232
1070246	1070641
1070617	1070769
1070928	1072058
1072454	1074433
1074451	1074642
1074842	1075456
1075466	1075588
1075757	1076671
1077313	1077332
1077874	1077903
1077960	1078328
1083156	1083167
1092602	1092609
1215507	1215508
1250404	1250554
1253420	1253629
1258199	1258868
1258927	1259152
1259151	1259511
1259533	1259752
1259827	1260142
1368765	1370094
1626943	1626944
1632024	1632025
1639259	1639607
1659026	1659496
1659961	1660089
1660175	1660339
1660388	1660651
1660783	1660995
1661397	1661918
1662099	1662338
1663212	1664021
1664094	1664471
1664619	1665161
1667457	1668582
1913623	1913636
1920713	1921090
1921252	1921449
1923879	1926155
1926186	1926506
1926830	1927051
1927181	1929127
1929124	1930242
1930388	1931338
1931335	1932993
1944912	1944925
2146556	2146562
2156664	2156665
2256002	2256158
2345325	2345674
2482316	2482678
2482675	2483607
2483596	2485054
2485112	2487116
2487251	2487500
2487952	2489884
2489883	2491221
2491263	2491953
2491955	2492411
2492411	2493049
2493053	2494471
2494431	2494931
2494915	2495475
2495516	2496808
2496808	2497719
2497732	2499736
2499910	2501409
2501387	2501875
2501879	2502283
2502851	2503373
2503586	2504053
2504052	2504490
2504473	2504800
2505235	2505858
2505854	2506043
2506039	2506402
2506398	2506689
2506887	2507063
2507055	2507397
2507399	2507576
2507543	2507716
2507712	2508159
2508116	2508412
2509112	2509196
2509195	2510632
2510621	2511521
2511513	2511660
2511694	2511976
2512413	2513102
2514316	2514619
2514631	2515219
2515433	2515627
2515663	2515957
2516271	2516424
2516404	2516593
2516583	2516726
2516851	2517430
2517429	2517714
2517760	2518054
2518064	2518235
2518887	2519388
2520153	2521239
2521159	2521516
2521727	2522078
2521954	2523118
2523186	2523197
2653863	2656043
2656051	2657214
2657286	2657648
2657744	2658121
2658208	2658426
2658494	2659594
2659590	2660076
2660076	2662856
2662849	2662968
2662982	2663285
2663340	2663855
2663865	2665037
2665140	2665358
2665572	2666294
2666491	2666899
2666905	2668525
2668521	2669127
2669119	2670028
2670014	2670374
2670370	2670949
2671017	2671464
2671456	2671888
2671984	2672409
2672409	2672786
2672791	2673261
2673281	2673496
2673499	2673703
2673703	2674167
2674260	2674911
2674915	2675979
2675996	2676829
2676972	2678738
2678738	2679781
2688466	2688976
2689008	2689251
2689367	2690000
2690003	2691029
2691561	2692320
2694943	2696644
2696646	2697138
2697163	2697889
2697878	2698406
2698423	2699458
2700460	2701036
2701040	2702174
2702221	2702551
2702547	2704518
2704705	2704963
2706082	2706538
2706534	2707662
2707658	2708366
2708362	2708869
2708865	2709318
2709414	2710074
2710119	2711091
2712164	2713940
2713936	2714998
2715048	2715318
2715622	2717155
2717684	2718497
2719838	2720369
2721296	2722310
3081414	3082072
3210470	3210471
3534330	3534333
3568204	3568561
3611098	3611099
3864656	3864658
3867457	3867462
3897661	3897669
3993543	3993544
4460483	4460729
4462000	4462331
4462443	4462815
4463035	4463356
4489006	4490344
